listing_id,city,state,locality,property_type,area_sqft,builtup_area_sqft,bhk,bathrooms,property_age,year_built,floor,total_floors,furnishing,parking,amenities_count,facing,latitude,longitude,price,price_per_sqft,currency,listing_status,synthetic_data,log_price,location_key
HYD-000001,Hyderabad,Telangana,Narsingi,Apartment,1739,1739,3,4,22,2004,16,20,Semi-Furnished,2,10,East,17.3888861,78.3391382,9960000,5727.43,INR,Sold,True,16.114088,Hyderabad | Narsingi
HYD-000012,Hyderabad,Telangana,Miyapur,Apartment,1383,1383,3,3,5,2021,2,4,Furnished,1,7,East,17.4941362,78.3561427,9650000,6977.58,INR,Active,True,16.082469,Hyderabad | Miyapur
HYD-000013,Hyderabad,Telangana,Somajiguda,Apartment,1211,1211,2,2,11,2015,10,14,Unfurnished,2,10,South,17.4289445,78.4556895,6400000,5284.89,INR,Active,True,15.671809,Hyderabad | Somajiguda
HYD-000014,Hyderabad,Telangana,Ameerpet,Villa,1895,1895,3,3,5,2021,0,0,Furnished,1,5,North-East,17.443686,78.4538877,15370000,8110.82,INR,Active,True,16.547928,Hyderabad | Ameerpet
HYD-000015,Hyderabad,Telangana,Moosapet,Independent House,2348,2348,4,4,11,2015,0,0,Unfurnished,0,2,North-East,17.4679876,78.4288533,12430000,5293.87,INR,Active,True,16.335624,Hyderabad | Moosapet
HYD-000016,Hyderabad,Telangana,Kondapur,Villa,2784,2784,4,4,4,2022,0,0,Furnished,1,3,South,17.478262,78.3924228,24630000,8846.98,INR,Sold,True,17.019476,Hyderabad | Kondapur
HYD-000017,Hyderabad,Telangana,Begumpet,Apartment,896,896,1,1,15,2011,10,15,Semi-Furnished,1,7,North-West,17.4425679,78.4680212,6350000,7087.05,INR,Active,True,15.663966,Hyderabad | Begumpet
HYD-000018,Hyderabad,Telangana,Bachupally,Independent House,1408,1408,2,2,22,2004,0,0,Unfurnished,3,3,North-East,17.5329684,78.3622282,6080000,4318.18,INR,Active,True,15.620515,Hyderabad | Bachupally
HYD-000019,Hyderabad,Telangana,Ameerpet,Apartment,2293,2293,4,4,25,2001,3,3,Unfurnished,2,12,South-East,17.4217815,78.4532314,13620000,5939.82,INR,Active,True,16.42705,Hyderabad | Ameerpet
HYD-000020,Hyderabad,Telangana,Tellapur,Apartment,765,765,1,2,1,2025,4,8,Semi-Furnished,0,1,North-East,17.4640506,78.2855746,4970000,6496.73,INR,Active,True,15.418931,Hyderabad | Tellapur
HYD-000021,Hyderabad,Telangana,Tarnaka,Villa,2901,2901,4,4,6,2020,0,0,Unfurnished,3,5,North,17.4371674,78.5365904,20710000,7138.92,INR,Active,True,16.846127,Hyderabad | Tarnaka
HYD-000022,Hyderabad,Telangana,Gachibowli,Apartment,1504,1504,3,3,11,2015,6,14,Semi-Furnished,3,9,West,17.4455924,78.3508725,10750000,7147.61,INR,Active,True,16.190416,Hyderabad | Gachibowli
HYD-000023,Hyderabad,Telangana,Jubilee Hills,Apartment,1554,1554,3,3,22,2004,10,12,Unfurnished,2,0,South,17.4331825,78.4129119,12000000,7722.01,INR,Active,True,16.300417,Hyderabad | Jubilee Hills
HYD-000024,Hyderabad,Telangana,Pragathi Nagar,Plot,4386,4386,0,0,11,2015,0,0,Furnished,2,2,South-West,17.509034,78.3806474,20320000,4632.92,INR,Active,True,16.827116,Hyderabad | Pragathi Nagar
HYD-000025,Hyderabad,Telangana,Mehdipatnam,Apartment,886,886,2,2,16,2010,14,15,Unfurnished,1,1,South-West,17.3965663,78.4370307,4950000,5586.91,INR,Active,True,15.414898,Hyderabad | Mehdipatnam
HYD-000026,Hyderabad,Telangana,Tarnaka,Apartment,1607,1607,3,3,17,2009,2,3,Furnished,1,7,South,17.4257761,78.5376437,9280000,5774.74,INR,Sold,True,16.043372,Hyderabad | Tarnaka
HYD-000027,Hyderabad,Telangana,Nanakramguda,Apartment,1505,1505,3,3,14,2012,18,24,Unfurnished,1,6,West,17.4209243,78.3638171,10550000,7009.97,INR,Active,True,16.171637,Hyderabad | Nanakramguda
HYD-000028,Hyderabad,Telangana,Somajiguda,Villa,4278,4278,5,6,21,2005,0,0,Semi-Furnished,3,1,South-East,17.4265533,78.4464874,24920000,5825.15,INR,Sold,True,17.031181,Hyderabad | Somajiguda
HYD-000029,Hyderabad,Telangana,Mehdipatnam,Apartment,1645,1645,3,3,12,2014,19,20,Furnished,3,2,South,17.4097795,78.4358458,9630000,5854.1,INR,Active,True,16.080394,Hyderabad | Mehdipatnam
HYD-000030,Hyderabad,Telangana,Manikonda,Plot,2287,2287,0,0,12,2014,0,0,Unfurnished,1,6,South-West,17.4047917,78.3659879,9960000,4355.05,INR,Active,True,16.114088,Hyderabad | Manikonda
HYD-000031,Hyderabad,Telangana,Miyapur,Villa,3514,3514,4,5,25,2001,0,0,Furnished,2,5,South-West,17.5016462,78.3443437,24870000,7077.4,INR,Sold,True,17.029173,Hyderabad | Miyapur
HYD-000032,Hyderabad,Telangana,Kompally,Plot,2994,2994,0,0,24,2002,0,0,Semi-Furnished,0,1,North-East,17.5322889,78.4849211,12060000,4028.06,INR,Sold,True,16.305405,Hyderabad | Kompally
HYD-000033,Hyderabad,Telangana,Manikonda,Apartment,2044,2044,3,3,23,2003,3,10,Unfurnished,3,0,East,17.4016022,78.3735979,10170000,4975.54,INR,Sold,True,16.134953,Hyderabad | Manikonda
HYD-000034,Hyderabad,Telangana,Tolichowki,Independent House,1748,1748,3,3,3,2023,0,0,Unfurnished,3,12,South-West,17.3991114,78.4086262,9220000,5274.6,INR,Sold,True,16.036886,Hyderabad | Tolichowki
HYD-000035,Hyderabad,Telangana,Tolichowki,Apartment,1735,1735,3,3,17,2009,18,26,Semi-Furnished,0,12,North,17.4079996,78.4103005,9360000,5394.81,INR,Sold,True,16.051956,Hyderabad | Tolichowki
HYD-000036,Hyderabad,Telangana,Secunderabad,Villa,2055,2055,3,4,12,2014,0,0,Semi-Furnished,2,0,North,17.4325148,78.4996648,13990000,6807.79,INR,Active,True,16.453853,Hyderabad | Secunderabad
HYD-000037,Hyderabad,Telangana,Madhapur,Independent House,2992,2992,4,4,5,2021,0,0,Semi-Furnished,2,2,North-East,17.4494078,78.3930593,19510000,6520.72,INR,Sold,True,16.786438,Hyderabad | Madhapur
HYD-000038,Hyderabad,Telangana,Kokapet,Apartment,1290,1290,2,3,17,2009,18,27,Furnished,2,7,East,17.3820773,78.3461316,8420000,6527.13,INR,Active,True,15.946121,Hyderabad | Kokapet
HYD-000039,Hyderabad,Telangana,Narsingi,Apartment,1703,1703,3,3,11,2015,11,11,Semi-Furnished,0,9,North,17.3870787,78.3259199,11090000,6512.04,INR,Active,True,16.221554,Hyderabad | Narsingi
HYD-000040,Hyderabad,Telangana,Kompally,Villa,2304,2304,3,3,20,2006,0,0,Semi-Furnished,2,1,South-East,17.5364139,78.4925946,15690000,6809.9,INR,Active,True,16.568534,Hyderabad | Kompally
HYD-000041,Hyderabad,Telangana,Miyapur,Plot,2587,2587,0,0,21,2005,0,0,Unfurnished,1,3,North-East,17.4897522,78.3537393,9870000,3815.23,INR,Active,True,16.105011,Hyderabad | Miyapur
HYD-000042,Hyderabad,Telangana,Uppal,Plot,1168,1168,0,0,3,2023,0,0,Semi-Furnished,1,0,North-West,17.4097225,78.5659516,5550000,4751.71,INR,Active,True,15.529309,Hyderabad | Uppal
HYD-000043,Hyderabad,Telangana,Attapur,Apartment,1502,1502,3,4,13,2013,1,9,Semi-Furnished,2,0,North-West,17.3704767,78.4299324,9610000,6398.14,INR,Sold,True,16.078315,Hyderabad | Attapur
HYD-000044,Hyderabad,Telangana,Begumpet,Independent House,2469,2469,3,3,3,2023,0,0,Furnished,3,3,North-West,17.4384776,78.4566629,16550000,6703.12,INR,Sold,True,16.621897,Hyderabad | Begumpet
HYD-000045,Hyderabad,Telangana,Kukatpally,Apartment,1503,1503,3,3,9,2017,14,17,Semi-Furnished,2,10,South,17.4869469,78.4154601,8490000,5648.7,INR,Active,True,15.9544,Hyderabad | Kukatpally
HYD-000046,Hyderabad,Telangana,Madhapur,Apartment,898,898,1,2,7,2019,24,25,Furnished,3,9,South,17.4570212,78.3899121,7480000,8329.62,INR,Active,True,15.827743,Hyderabad | Madhapur
HYD-000047,Hyderabad,Telangana,Ameerpet,Apartment,2139,2139,3,4,6,2020,3,13,Semi-Furnished,1,8,North-East,17.4323571,78.4418746,14080000,6582.52,INR,Sold,True,16.460266,Hyderabad | Ameerpet
HYD-000048,Hyderabad,Telangana,Uppal,Independent House,2044,2044,3,3,19,2007,0,0,Furnished,2,10,East,17.409284,78.5618394,10820000,5293.54,INR,Active,True,16.196907,Hyderabad | Uppal
HYD-000049,Hyderabad,Telangana,Miyapur,Independent House,1878,1878,3,3,6,2020,0,0,Furnished,3,7,North-East,17.4878109,78.3471209,11130000,5926.52,INR,Sold,True,16.225155,Hyderabad | Miyapur
HYD-000050,Hyderabad,Telangana,Ameerpet,Plot,3876,3876,0,0,16,2010,0,0,Unfurnished,1,7,East,17.4387846,78.4408256,17010000,4388.54,INR,Active,True,16.649312,Hyderabad | Ameerpet
HYD-000051,Hyderabad,Telangana,Manikonda,Apartment,1681,1681,3,3,13,2013,3,13,Semi-Furnished,1,6,North-East,17.3996969,78.3739224,10560000,6281.98,INR,Active,True,16.172584,Hyderabad | Manikonda
HYD-000052,Hyderabad,Telangana,Kompally,Independent House,1917,1917,3,4,7,2019,0,0,Unfurnished,1,3,North,17.5428467,78.4847647,9170000,4783.52,INR,Active,True,16.031448,Hyderabad | Kompally
HYD-000053,Hyderabad,Telangana,Tarnaka,Villa,2687,2687,3,4,13,2013,0,0,Semi-Furnished,3,0,West,17.420034,78.534073,19570000,7283.22,INR,Active,True,16.789508,Hyderabad | Tarnaka
HYD-000054,Hyderabad,Telangana,Kokapet,Apartment,842,842,1,1,5,2021,2,9,Furnished,0,0,South,17.3930903,78.3661164,6920000,8218.53,INR,Active,True,15.749926,Hyderabad | Kokapet
HYD-000055,Hyderabad,Telangana,Attapur,Independent House,2771,2771,4,4,21,2005,0,0,Furnished,0,6,East,17.373724,78.4289083,17730000,6398.41,INR,Active,True,16.690769,Hyderabad | Attapur
HYD-000056,Hyderabad,Telangana,Jubilee Hills,Apartment,1593,1593,3,3,18,2008,9,16,Furnished,0,3,South,17.427963,78.4056791,14350000,9008.16,INR,Active,True,16.479261,Hyderabad | Jubilee Hills
HYD-000057,Hyderabad,Telangana,Attapur,Apartment,1562,1562,3,3,23,2003,14,17,Unfurnished,1,1,East,17.381888,78.4137964,8810000,5640.2,INR,Active,True,15.991398,Hyderabad | Attapur
HYD-000058,Hyderabad,Telangana,Tolichowki,Plot,2700,2700,0,0,18,2008,0,0,Unfurnished,2,8,North-West,17.3890237,78.4121684,10910000,4040.74,INR,Active,True,16.20519,Hyderabad | Tolichowki
HYD-000059,Hyderabad,Telangana,Somajiguda,Apartment,1346,1346,2,3,8,2018,12,19,Unfurnished,3,5,North-East,17.4205335,78.4537082,7590000,5638.93,INR,Active,True,15.842342,Hyderabad | Somajiguda
HYD-000060,Hyderabad,Telangana,Tarnaka,Independent House,3603,3603,5,5,21,2005,0,0,Unfurnished,3,12,West,17.4295988,78.5399734,18130000,5031.92,INR,Active,True,16.713079,Hyderabad | Tarnaka
HYD-000061,Hyderabad,Telangana,Kukatpally,Independent House,1704,1704,3,4,25,2001,0,0,Furnished,0,8,West,17.4887035,78.4016491,9850000,5780.52,INR,Sold,True,16.102982,Hyderabad | Kukatpally
HYD-000062,Hyderabad,Telangana,Jubilee Hills,Apartment,2333,2333,4,4,8,2018,3,6,Semi-Furnished,1,3,East,17.4377146,78.4023449,19630000,8414.06,INR,Sold,True,16.79257,Hyderabad | Jubilee Hills
HYD-000063,Hyderabad,Telangana,Punjagutta,Independent House,2565,2565,4,5,1,2025,0,0,Semi-Furnished,0,12,South-West,17.4311945,78.4422982,15780000,6152.05,INR,Sold,True,16.574254,Hyderabad | Punjagutta
HYD-000064,Hyderabad,Telangana,Jubilee Hills,Independent House,3299,3299,5,5,3,2023,0,0,Unfurnished,3,4,South,17.42868,78.4176927,25910000,7853.9,INR,Active,True,17.07014,Hyderabad | Jubilee Hills
HYD-000065,Hyderabad,Telangana,Kokapet,Apartment,1722,1722,3,4,14,2012,1,2,Furnished,3,10,East,17.3955072,78.3557329,11530000,6695.7,INR,Sold,True,16.260463,Hyderabad | Kokapet
HYD-000066,Hyderabad,Telangana,Kompally,Villa,2664,2664,3,4,9,2017,0,0,Semi-Furnished,2,1,South,17.5377946,78.4890015,15280000,5735.74,INR,Active,True,16.542055,Hyderabad | Kompally
HYD-000067,Hyderabad,Telangana,Tarnaka,Apartment,1522,1522,3,4,19,2007,14,19,Furnished,2,7,East,17.4329478,78.5341384,10000000,6570.3,INR,Active,True,16.118096,Hyderabad | Tarnaka
HYD-000068,Hyderabad,Telangana,Ameerpet,Apartment,1639,1639,3,3,6,2020,14,19,Unfurnished,1,6,South-East,17.4313537,78.4467846,8280000,5051.86,INR,Active,True,15.929354,Hyderabad | Ameerpet
HYD-000069,Hyderabad,Telangana,Dilsukhnagar,Apartment,525,525,1,2,20,2006,3,10,Unfurnished,1,4,East,17.3602192,78.5220597,3260000,6209.52,INR,Active,True,14.997238,Hyderabad | Dilsukhnagar
HYD-000070,Hyderabad,Telangana,Hitech City,Apartment,1173,1173,2,2,11,2015,19,20,Unfurnished,0,11,South-East,17.4348848,78.384179,9550000,8141.52,INR,Sold,True,16.072052,Hyderabad | Hitech City
HYD-000071,Hyderabad,Telangana,Ameerpet,Villa,3004,3004,4,4,6,2020,0,0,Semi-Furnished,1,11,South-West,17.4402726,78.4494944,20910000,6960.72,INR,Sold,True,16.855738,Hyderabad | Ameerpet
HYD-000072,Hyderabad,Telangana,Madhapur,Apartment,1541,1541,3,4,9,2017,22,25,Furnished,2,2,South-East,17.4459881,78.3921811,12670000,8221.93,INR,Active,True,16.354748,Hyderabad | Madhapur
HYD-000073,Hyderabad,Telangana,Dilsukhnagar,Apartment,2419,2419,4,4,7,2019,19,29,Semi-Furnished,3,7,South,17.3613731,78.5374982,17390000,7188.92,INR,Active,True,16.671406,Hyderabad | Dilsukhnagar
HYD-000074,Hyderabad,Telangana,Alwal,Apartment,1298,1298,3,4,6,2020,13,19,Furnished,3,9,North-East,17.5035299,78.513686,8420000,6486.9,INR,Active,True,15.946121,Hyderabad | Alwal
HYD-000075,Hyderabad,Telangana,Tarnaka,Apartment,637,637,1,1,15,2011,20,30,Semi-Furnished,2,11,North,17.425342,78.5361638,4070000,6389.32,INR,Active,True,15.219154,Hyderabad | Tarnaka
HYD-000076,Hyderabad,Telangana,Kukatpally,Apartment,1802,1802,3,3,21,2005,5,13,Semi-Furnished,0,9,East,17.4807425,78.4191976,11430000,6342.95,INR,Active,True,16.251752,Hyderabad | Kukatpally
HYD-000077,Hyderabad,Telangana,Somajiguda,Apartment,1705,1705,3,3,4,2022,11,19,Unfurnished,2,2,North-East,17.4307778,78.453026,12190000,7149.56,INR,Active,True,16.316127,Hyderabad | Somajiguda
HYD-000078,Hyderabad,Telangana,Dilsukhnagar,Apartment,2199,2199,4,4,8,2018,12,18,Furnished,1,4,North-East,17.3724622,78.5245746,16680000,7585.27,INR,Active,True,16.629721,Hyderabad | Dilsukhnagar
HYD-000079,Hyderabad,Telangana,Somajiguda,Apartment,1171,1171,2,3,24,2002,18,28,Unfurnished,3,12,South-West,17.4234506,78.4612826,7390000,6310.85,INR,Active,True,15.815638,Hyderabad | Somajiguda
HYD-000080,Hyderabad,Telangana,Shamshabad,Apartment,713,713,1,1,8,2018,23,30,Unfurnished,2,1,South-West,17.2575927,78.4359525,3730000,5231.42,INR,Active,True,15.131919,Hyderabad | Shamshabad
HYD-000081,Hyderabad,Telangana,Alwal,Apartment,2446,2446,4,4,15,2011,24,26,Unfurnished,0,5,South,17.500126,78.5160917,14970000,6120.2,INR,Active,True,16.521559,Hyderabad | Alwal
HYD-000082,Hyderabad,Telangana,Kokapet,Villa,2060,2060,3,3,8,2018,0,0,Furnished,3,9,West,17.3892191,78.343582,18260000,8864.08,INR,Active,True,16.720223,Hyderabad | Kokapet
HYD-000083,Hyderabad,Telangana,Nanakramguda,Apartment,1757,1757,3,3,7,2019,22,23,Semi-Furnished,1,0,North-East,17.4310543,78.3464639,13010000,7404.67,INR,Active,True,16.381229,Hyderabad | Nanakramguda
HYD-000084,Hyderabad,Telangana,Secunderabad,Apartment,1431,1431,3,3,4,2022,3,10,Unfurnished,3,10,South-West,17.44465,78.5020447,10370000,7246.68,INR,Sold,True,16.154428,Hyderabad | Secunderabad
HYD-000085,Hyderabad,Telangana,Financial District,Independent House,2088,2088,3,4,1,2025,0,0,Furnished,2,7,North-West,17.4185165,78.3379548,17710000,8481.8,INR,Active,True,16.68964,Hyderabad | Financial District
HYD-000086,Hyderabad,Telangana,Punjagutta,Apartment,628,628,1,2,25,2001,24,25,Unfurnished,2,9,South-East,17.4251177,78.444547,3250000,5175.16,INR,Active,True,14.994166,Hyderabad | Punjagutta
HYD-000087,Hyderabad,Telangana,Secunderabad,Apartment,1092,1092,2,2,6,2020,13,19,Unfurnished,1,10,East,17.4365177,78.4933667,6160000,5641.03,INR,Active,True,15.633587,Hyderabad | Secunderabad
HYD-000088,Hyderabad,Telangana,Pragathi Nagar,Apartment,1693,1693,3,4,9,2017,20,22,Furnished,1,10,South,17.5079583,78.3801738,12130000,7164.8,INR,Active,True,16.311192,Hyderabad | Pragathi Nagar
HYD-000089,Hyderabad,Telangana,Alwal,Apartment,1691,1691,3,3,18,2008,14,15,Furnished,2,12,North-West,17.4915552,78.5076893,9130000,5399.17,INR,Active,True,16.027076,Hyderabad | Alwal
HYD-000090,Hyderabad,Telangana,Attapur,Apartment,1111,1111,2,2,14,2012,8,18,Furnished,3,11,East,17.3768521,78.430146,7140000,6426.64,INR,Sold,True,15.781223,Hyderabad | Attapur
HYD-000091,Hyderabad,Telangana,Ameerpet,Apartment,1621,1621,3,3,13,2013,16,20,Unfurnished,1,2,North-East,17.4314848,78.4481889,8800000,5428.75,INR,Active,True,15.990262,Hyderabad | Ameerpet
HYD-000092,Hyderabad,Telangana,Financial District,Apartment,1098,1098,2,2,1,2025,4,12,Furnished,2,6,South,17.4189366,78.3406161,10360000,9435.34,INR,Sold,True,16.153463,Hyderabad | Financial District
HYD-000093,Hyderabad,Telangana,Moosapet,Independent House,2359,2359,3,3,18,2008,0,0,Unfurnished,2,0,South,17.4684103,78.4271409,11380000,4824.08,INR,Sold,True,16.247368,Hyderabad | Moosapet
HYD-000094,Hyderabad,Telangana,Shamshabad,Apartment,1077,1077,2,2,13,2013,10,15,Furnished,2,11,South-West,17.2510756,78.4315861,6150000,5710.31,INR,Sold,True,15.631963,Hyderabad | Shamshabad
HYD-000095,Hyderabad,Telangana,Miyapur,Independent House,1668,1668,3,3,2,2024,0,0,Furnished,2,4,South,17.499888,78.3585069,9930000,5953.24,INR,Sold,True,16.111071,Hyderabad | Miyapur
HYD-000096,Hyderabad,Telangana,Hitech City,Apartment,922,922,1,1,20,2006,15,21,Semi-Furnished,3,11,South-West,17.4388959,78.3824339,7530000,8167.03,INR,Active,True,15.834406,Hyderabad | Hitech City
HYD-000097,Hyderabad,Telangana,Narsingi,Independent House,3455,3455,5,5,22,2004,0,0,Furnished,2,12,North-East,17.3801502,78.3249617,22480000,6506.51,INR,Active,True,16.928137,Hyderabad | Narsingi
HYD-000098,Hyderabad,Telangana,Nanakramguda,Apartment,642,642,1,1,22,2004,1,5,Unfurnished,2,10,East,17.4153455,78.3479452,3600000,5607.48,INR,Active,True,15.096445,Hyderabad | Nanakramguda
HYD-000099,Hyderabad,Telangana,Jubilee Hills,Apartment,1677,1677,3,4,9,2017,5,12,Semi-Furnished,2,0,South,17.443857,78.4128025,15020000,8956.47,INR,Active,True,16.524893,Hyderabad | Jubilee Hills
HYD-000100,Hyderabad,Telangana,Pragathi Nagar,Plot,3926,3926,0,0,15,2011,0,0,Semi-Furnished,0,7,West,17.5056095,78.3859515,16690000,4251.15,INR,Active,True,16.63032,Hyderabad | Pragathi Nagar
HYD-000101,Hyderabad,Telangana,Kukatpally,Apartment,1412,1412,3,3,0,2026,21,27,Unfurnished,2,7,North-East,17.4919766,78.4109849,9070000,6423.51,INR,Active,True,16.020483,Hyderabad | Kukatpally
HYD-000102,Hyderabad,Telangana,Kompally,Apartment,1341,1341,3,4,21,2005,8,8,Semi-Furnished,2,0,South-East,17.5400128,78.4888269,8580000,6398.21,INR,Active,True,15.964945,Hyderabad | Kompally
HYD-000103,Hyderabad,Telangana,Kompally,Independent House,1421,1421,3,4,15,2011,0,0,Unfurnished,2,9,North-West,17.5407315,78.4816819,6910000,4862.77,INR,Sold,True,15.74848,Hyderabad | Kompally
HYD-000104,Hyderabad,Telangana,Kokapet,Independent House,1164,1164,2,2,15,2011,0,0,Semi-Furnished,2,3,West,17.3835943,78.3421457,7670000,6589.35,INR,Active,True,15.852827,Hyderabad | Kokapet
HYD-000105,Hyderabad,Telangana,Secunderabad,Plot,4395,4395,0,0,21,2005,0,0,Semi-Furnished,1,4,South-East,17.4429866,78.5025697,19170000,4361.77,INR,Sold,True,16.768857,Hyderabad | Secunderabad
HYD-000106,Hyderabad,Telangana,Gachibowli,Villa,2493,2493,4,5,25,2001,0,0,Unfurnished,2,3,North-East,17.4477661,78.3508939,15550000,6237.46,INR,Active,True,16.559571,Hyderabad | Gachibowli
HYD-000107,Hyderabad,Telangana,Narsingi,Independent House,1075,1075,2,2,15,2011,0,0,Unfurnished,2,7,North-East,17.385694,78.3370758,6500000,6046.51,INR,Active,True,15.687313,Hyderabad | Narsingi
HYD-000108,Hyderabad,Telangana,Tarnaka,Apartment,762,762,1,1,8,2018,22,24,Semi-Furnished,1,8,North,17.438832,78.5382062,5250000,6889.76,INR,Active,True,15.473739,Hyderabad | Tarnaka
HYD-000109,Hyderabad,Telangana,Mehdipatnam,Apartment,1324,1324,2,2,7,2019,9,14,Semi-Furnished,1,12,North,17.4032118,78.4312105,7900000,5966.77,INR,Active,True,15.882373,Hyderabad | Mehdipatnam
HYD-000110,Hyderabad,Telangana,Narsingi,Villa,4508,4508,5,5,14,2012,0,0,Semi-Furnished,0,1,South,17.3744476,78.3229004,33810000,7500.0,INR,Active,True,17.336267,Hyderabad | Narsingi
HYD-000111,Hyderabad,Telangana,Uppal,Apartment,782,782,2,2,11,2015,24,28,Unfurnished,3,7,South-West,17.4093053,78.5680141,4880000,6240.41,INR,Active,True,15.400656,Hyderabad | Uppal
HYD-000112,Hyderabad,Telangana,Pragathi Nagar,Apartment,1163,1163,2,2,6,2020,14,14,Semi-Furnished,1,12,South-West,17.5027194,78.3727797,7460000,6414.45,INR,Active,True,15.825066,Hyderabad | Pragathi Nagar
HYD-000113,Hyderabad,Telangana,Jubilee Hills,Apartment,1140,1140,2,2,24,2002,12,22,Semi-Furnished,3,3,East,17.4324038,78.3946953,8910000,7815.79,INR,Sold,True,16.002685,Hyderabad | Jubilee Hills
HYD-000114,Hyderabad,Telangana,Kokapet,Villa,2159,2159,3,4,13,2013,0,0,Semi-Furnished,2,12,North-West,17.394018,78.3451996,15360000,7114.4,INR,Active,True,16.547277,Hyderabad | Kokapet
HYD-000115,Hyderabad,Telangana,Gachibowli,Apartment,1480,1480,3,4,2,2024,11,16,Unfurnished,2,12,East,17.4337447,78.3485239,10950000,7398.65,INR,Sold,True,16.20885,Hyderabad | Gachibowli
HYD-000116,Hyderabad,Telangana,Secunderabad,Apartment,1821,1821,3,4,4,2022,2,12,Furnished,3,12,North-East,17.4429243,78.4951185,12780000,7018.12,INR,Sold,True,16.363392,Hyderabad | Secunderabad
HYD-000117,Hyderabad,Telangana,Moosapet,Apartment,1507,1507,3,4,23,2003,11,16,Furnished,0,4,East,17.4597885,78.4196781,9400000,6237.56,INR,Sold,True,16.05622,Hyderabad | Moosapet
HYD-000118,Hyderabad,Telangana,Banjara Hills,Apartment,934,934,2,3,19,2007,15,20,Furnished,3,6,West,17.4158116,78.4305016,8690000,9304.07,INR,Active,True,15.977684,Hyderabad | Banjara Hills
HYD-000119,Hyderabad,Telangana,Moosapet,Apartment,1688,1688,3,3,23,2003,17,25,Unfurnished,1,3,South,17.4646742,78.426685,9220000,5462.09,INR,Active,True,16.036886,Hyderabad | Moosapet
HYD-000120,Hyderabad,Telangana,Manikonda,Apartment,1786,1786,3,3,25,2001,19,23,Furnished,1,12,North-East,17.4015451,78.3713497,9950000,5571.11,INR,Sold,True,16.113083,Hyderabad | Manikonda
HYD-000121,Hyderabad,Telangana,LB Nagar,Plot,1352,1352,0,0,11,2015,0,0,Semi-Furnished,3,8,North-West,17.3366089,78.5604012,5240000,3875.74,INR,Active,True,15.471832,Hyderabad | LB Nagar
HYD-000122,Hyderabad,Telangana,Moosapet,Apartment,1946,1946,3,3,18,2008,1,9,Furnished,1,3,West,17.4694593,78.4248675,11410000,5863.31,INR,Active,True,16.250001,Hyderabad | Moosapet
